product	platform	p_group	focus_area	support_level	status	meets_volume_criteria	support_level_desc
Amazon DataZone (Preview)	AWS	Data	Data Analytics	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Detective	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon DevOps Guru	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon DocumentDB	AWS	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon DynamoDB	AWS	Infrastructure	Serverless	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/serverless
Amazon DynamoDB	AWS	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon EC2	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon EC2 Auto Scaling	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon EC2 Spot Instances	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon EMR	AWS	Data	Data Analytics	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/analytics
Amazon EMR	AWS	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon ElastiCache	AWS	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Elastic Block Store (EBS)	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Elastic Container Registry (ECR)	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Elastic Container Service (ECS)	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/compute
Amazon Elastic Container Service (ECS)	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Elastic File System (EFS)	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Elastic Inference	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon Elastic Kubernetes Service (EKS)	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/compute
Amazon Elastic Kubernetes Service (EKS)	AWS	Infrastructure	Kubernetes	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Elastic Transcoder	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Amazon EventBridge	AWS	Infrastructure	Serverless	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/serverless&aws/category/application-integration
Amazon EventBridge	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon FSx	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon FinSpace	AWS	Data	Data Analytics	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/analytics
Amazon Forecast	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon Fraud Detector	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon GameLift	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Amazon GuardDuty	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon HealthLake	AWS	Data	Data Analytics	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Honeycode	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/business-applications
Amazon Inspector	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Interactive Video Service	AWS	Data	Data Engineering	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Kendra	AWS	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Keyspaces (for Apache Cassandra)	AWS	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Kinesis	AWS	Data	Data Analytics	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/analytics
Amazon Kinesis	AWS	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Kinesis Video Streams	AWS	Data	Data Engineering	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Lex	AWS	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Lightsail	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Location Service	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/front-end-web-and-mobile
Amazon Lookout for Equipment	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon Lookout for Metrics	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon Lookout for Vision	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon Lumberyard	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Amazon MQ	AWS	Infrastructure	Serverless	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/application-integration
Amazon MQ	AWS	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Macie	AWS	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/security-identity-and-compliance
Amazon Managed Blockchain	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Amazon Managed Grafana	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/management-and-governance
Amazon Managed Grafana	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Managed Service for Prometheus	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/management-and-governance
Amazon Managed Service for Prometheus	AWS	Infrastructure	Kubernetes	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Managed Streaming for Apache Kafka (MSK)	AWS	Data	Data Analytics	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/analytics
Amazon Managed Streaming for Apache Kafka (MSK)	AWS	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Managed Workflows for Apache Airflow (MWAA)	AWS	Infrastructure	Serverless	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/application-integration
Amazon Managed Workflows for Apache Airflow (MWAA)	AWS	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon MemoryDB for Redis	AWS	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Monitron	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon Neptune	AWS	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Nimble Studio	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Amazon Omics	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon OpenSearch Service	AWS	Data	Data Analytics	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Personalize	AWS	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Pinpoint	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Polly	AWS	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Q	AWS	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Quantum Ledger Database (QLDB)	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Amazon QuickSight	AWS	Data	Data Analytics	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon RDS	AWS	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Redshift	AWS	Data	Databases	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/databases
Amazon Redshift	AWS	Data	Data Analytics	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Rekognition	AWS	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Route 53	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon S3 Glacier	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon SageMaker	AWS	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon SageMaker Ground Truth	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon Security Lake	AWS	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/security-identity-and-compliance
Amazon Simple Email Service (SES)	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Simple Notification Service (SNS)	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Simple Queue Service (SQS)	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Simple Storage Service (S3)	AWS	Data	Data Engineering	SECONDARY	VERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/serverless
Amazon Simple Storage Service (S3)	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Textract	AWS	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Timestream	AWS	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Transcribe	AWS	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Translate	AWS	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon VPC	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Verified Permissions	AWS	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/security-identity-and-compliance
Amazon WorkDocs	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon WorkMail	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/business-applications
Amazon WorkSpaces Family	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon WorkSpaces Thin Client	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Apache MXNet on AWS	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
B2B Data Interchange	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/application-integration
EC2 Image Builder	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/compute
EC2 Image Builder	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Elastic Load Balancing (ELB)	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
FreeRTOS	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
IAM	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Identity and Access Management	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Local Zones now generally available in Buenos Aires, Copenhagen, Helsinki and Muscat	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/compute
Marketplace For ISVs	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Migration Evaluator (formerly TSO Logic)	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
PyTorch on AWS	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Red Hat OpenShift Service on AWS	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Reserved Instance (RI) Reporting	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Savings Plans	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
TensorFlow on AWS	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
VMware Cloud on AWS	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/compute
AI Infrastructure	Google Cloud	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/ai-and-machine-learning
API Gateway	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/serverless
Access Transparency	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Activation request	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Active Assist	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AlloyDB for PostgreSQL	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Analytics Hub	Google Cloud	Data	Data Analytics	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Anthos	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Anti Money Laundering AI	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Apigee API Management	Google Cloud	Data	Data Engineering	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/integration-services
Apigee API Management	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
App Engine	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AppSheet	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AppSheet Automation	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Application Integration	Google Cloud	Data	Data Engineering	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/integration-services
Application Integration	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Application migration	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Artifact Registry	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Assured Open Source Software	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Assured Open Source Software	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/developer-tools
Assured Workloads	Google Cloud	Infrastructure	Security and Identity	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/security-and-identity
Assured Workloads	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AutoML	Google Cloud	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Bare Metal Solution	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Bare Metal Solution	Google Cloud	Data	Databases	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/databases
Batch	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
BeyondCorp Enterprise	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Big Query	Google Cloud	Data	Data Analytics	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
BigLake	Google Cloud	Data	Data Analytics	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
BigQuery	Google Cloud	Data	Data Analytics	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
BigQuery Data Transfer Service	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
BigQuery Lens	Google Cloud	Data	Data Analytics	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Block storage	Google Cloud	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/storage
Blockchain Node Engine	Google Cloud	Data	Data Engineering	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Cancellation request	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Carbon Footprint	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Certificate Authority Service	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Chrome Enterprise	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Chronicle SIEM	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Chronicle SOAR	Google Cloud	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/security-and-identity
Cloud APIs	Google Cloud	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Armor	Google Cloud	Infrastructure	Networking	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/networking
Cloud Armor	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Asset Inventory	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Bigtable	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Bigtable	Google Cloud	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Build	Google Cloud	Infrastructure	Serverless	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/developer-tools
Cloud Build	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud CDN	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Code	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Cloud Composer	Google Cloud	Data	Data Analytics	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/data-analytics
Cloud Composer	Google Cloud	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Connectivity	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Console	Google Cloud	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud DNS	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Data Fusion	Google Cloud	Data	Data Analytics	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/data-analytics
Cloud Data Fusion	Google Cloud	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Data Loss Prevention	Google Cloud	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Data Loss Prevention	Google Cloud	Data	Data Analytics	SECONDARY	VERIFIED	TRUE	MANUALLY ASSIGNED
Cloud Debugger	Google Cloud	Infrastructure	DevOps	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/operations
Cloud Deploy	Google Cloud	Infrastructure	Serverless	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/developer-tools
Cloud Deploy	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Deployment Manager	Google Cloud	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  gcp/category/developer-tools
Cloud Domains	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Endpoints	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Cloud Error Reporting	Google Cloud	Infrastructure	DevOps	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Cloud Firewall	Google Cloud	Infrastructure	Security and Identity	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: gcp/category/security-and-identity
Cloud Firewall	Google Cloud	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Cloud Foundation Toolkit	Google Cloud	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
